Column1,Column3,Column5
gcc,2,127688
gcc,3,94726
gcc,4,69158
gcc,5,50623
gcc,6,38848
gcc,7,33664
gcc,8,29011
gcc,9,25202
gcc,10,22916
gcc,11,18325
gcc,12,13529
gcc,13,12118
gcc,14,11014
gcc,15,10111
gcc,16,8568
gcc,17,8045
gcc,18,7026
gcc,19,6018
gcc,20,5550
gcc,21,5011
gcc,22,4370
gcc,23,3728
gcc,24,3283
gcc,25,2752
gcc,26,2407
gcc,27,2148
gcc,28,1910
gcc,29,1755
gcc,30,1565
gcc,31,1488
gcc,32,1375
gcc,33,1325
gcc,34,1241
gcc,35,1182
gcc,36,1112
gcc,37,1068
gcc,38,1032
gcc,39,990
gcc,40,958
gcc,41,914
gcc,42,887
gcc,43,860
gcc,44,828
gcc,45,811
gcc,46,790
gcc,47,766
gcc,48,751
gcc,49,744
gcc,50,728
gcc,51,695
gcc,52,682
gcc,53,668
gcc,54,667
gcc,55,651
gcc,56,638
gcc,57,628
gcc,58,621
gcc,59,616
gcc,60,609
gcc,61,594
gcc,62,581
gcc,63,577
gcc,64,551
gcc,65,549
gcc,66,541
gcc,67,536
gcc,68,531
gcc,69,531
gcc,70,526
gcc,71,516
gcc,72,510
gcc,73,506
gcc,74,504
gcc,75,501
gcc,76,495
gcc,77,491
gcc,78,490
gcc,79,489
gcc,80,482
gcc,81,480
gcc,82,477
gcc,83,475
gcc,84,473
gcc,85,467
gcc,86,466
gcc,87,466
gcc,88,465
gcc,89,462
gcc,90,460
gcc,91,457
gcc,92,458
gcc,93,458
gcc,94,453
gcc,95,453
gcc,96,440
gcc,97,440
gcc,98,439
gcc,99,438
gcc,100,436
gzip,2,60446
gzip,3,53625
gzip,4,50132
gzip,5,48041
gzip,6,46654
gzip,7,45652
gzip,8,44918
gzip,9,44358
gzip,10,43898
gzip,11,43532
gzip,12,43219
gzip,13,42963
gzip,14,42744
gzip,15,42549
gzip,16,42384
gzip,17,42235
gzip,18,42102
gzip,19,41982
gzip,20,41876
gzip,21,41782
gzip,22,41695
gzip,23,41612
gzip,24,41539
gzip,25,41473
gzip,26,41411
gzip,27,41352
gzip,28,41299
gzip,29,41248
gzip,30,41203
gzip,31,41160
gzip,32,41120
gzip,33,41082
gzip,34,41047
gzip,35,41013
gzip,36,40981
gzip,37,40952
gzip,38,40922
gzip,39,40895
gzip,40,40870
gzip,41,40845
gzip,42,40822
gzip,43,40800
gzip,44,40779
gzip,45,40759
gzip,46,40740
gzip,47,40721
gzip,48,40704
gzip,49,40687
gzip,50,40671
gzip,51,40655
gzip,52,40640
gzip,53,40625
gzip,54,40611
gzip,55,40598
gzip,56,40585
gzip,57,40573
gzip,58,40560
gzip,59,40549
gzip,60,40538
gzip,61,40527
gzip,62,40516
gzip,63,40506
gzip,64,40496
gzip,65,40487
gzip,66,40477
gzip,67,40468
gzip,68,40460
gzip,69,40451
gzip,70,40443
gzip,71,40435
gzip,72,40427
gzip,73,40419
gzip,74,40412
gzip,75,40405
gzip,76,40398
gzip,77,40391
gzip,78,40384
gzip,79,40378
gzip,80,40372
gzip,81,40365
gzip,82,40359
gzip,83,40354
gzip,84,40348
gzip,85,40342
gzip,86,40337
gzip,87,40332
gzip,88,40326
gzip,89,40321
gzip,90,40316
gzip,91,40311
gzip,92,40307
gzip,93,40302
gzip,94,40297
gzip,95,40293
gzip,96,40289
gzip,97,40284
gzip,98,40280
gzip,99,40276
gzip,100,40272
swim,2,81595
swim,3,57750
swim,4,32310
swim,5,19581
swim,6,16406
swim,7,14654
swim,8,13893
swim,9,11594
swim,10,4874
swim,11,1969
swim,12,1441
swim,13,1151
swim,14,991
swim,15,916
swim,16,844
swim,17,764
swim,18,712
swim,19,662
swim,20,644
swim,21,597
swim,22,584
swim,23,575
swim,24,558
swim,25,533
swim,26,490
swim,27,481
swim,28,444
swim,29,430
swim,30,369
swim,31,361
swim,32,326
swim,33,323
swim,34,303
swim,35,298
swim,36,287
swim,37,277
swim,38,264
swim,39,257
swim,40,250
swim,41,245
swim,42,239
swim,43,233
swim,44,231
swim,45,229
swim,46,226
swim,47,224
swim,48,212
swim,49,209
swim,50,209
swim,51,205
swim,52,199
swim,53,197
swim,54,196
swim,55,192
swim,56,188
swim,57,184
swim,58,184
swim,59,183
swim,60,182
swim,61,179
swim,62,177
swim,63,177
swim,64,177
swim,65,177
swim,66,177
swim,67,176
swim,68,172
swim,69,164
swim,70,161
swim,71,161
swim,72,161
swim,73,158
swim,74,158
swim,75,157
swim,76,157
swim,77,154
swim,78,153
swim,79,152
swim,80,151
swim,81,151
swim,82,151
swim,83,151
swim,84,151
swim,85,150
swim,86,150
swim,87,150
swim,88,149
swim,89,148
swim,90,148
swim,91,148
swim,92,148
swim,93,147
swim,94,147
swim,95,147
swim,96,147
swim,97,147
swim,98,147
swim,99,147
swim,100,147
